iid,coverage
I7568,2.0
I7570,2.0
I7571,2.0
I7575,2.0
I7577,2.0
I7578,2.0
I7626,2.0
I7627,2.0
I7628,2.0
I7630,2.0
I7635,2.0
I7638,2.0
I7639,2.0
I7640,2.0
CabecoArruda122A.SG,2.0
CovaMoura364.SG,2.0
CovaMoura9B.SG,2.0
LugarCanto42.SG,2.0
LugarCanto45.SG,2.0
MonteCanelas337A.SG,2.0
MonteGato104.SG,2.0
Sanganji_131421-3_A1.SG,2.0
Sanganji_131421-3_A2.SG,2.0
Bon001.SG,2.0
Bon002.SG,2.0
Bon004.SG,2.0
Tep003.SG,2.0
Tep004.SG,2.0
MOM6.SG,2.0
MARC1492.SG,2.0
I1048.SG,2.0
M240.SG,2.0
Paglicci108_published_d,2.0
I9130,2.0
I9131,2.0
ANI152,2.0
I0440,2.0
I0432,2.0
I0419_published,2.0
I0122,2.0
I0361_published,2.0
I0231_published,2.0
I0370,2.0
I0441,2.0
I0444,2.0
I0429,2.0
I0840,2.0
I1282,2.0
I1302,2.0
I1276,2.0
I1272,2.0
I1300,2.0
I0585,2.0
I0453,2.0
I0455,2.0
I0825,2.0
I0260,2.0
I0262,2.0
I0458,2.0
I1534,2.0
I0550,2.0
I0174,2.0
I0117,2.0
I0804,2.0
I0164,2.0
I0011,2.0
I0015,2.0
I0017,2.0
RISE179.SG,2.0
RISE416.SG,2.0
RISE500.SG,2.0
I1293_all,2.0
I1563,2.0
I1926_published,2.0
I2062,2.0
I2105,2.0
I2158_published,2.0
I2163,2.0
I2165,2.0
I9134.SG,2.0
I9028.SG,2.0
E09569,2.0
bally.SG,2.0
I0461,2.0
I2037,2.0
I2038,2.0
I2445,2.0
I2452,2.0
I2453,2.0
I2455,2.0
I2373_all,2.0
I1877_all,2.0
I1880_all,2.0
I2020,2.0
I2022,2.0
I2988,2.0
I3313,2.0
I3604_published,2.0
I3132,2.0
I2403,2.0
I3535,2.0
I3536,2.0
I3537,2.0
I3588,2.0
I3594,2.0
I4186,2.0
I4252_published,2.0
I4253,2.0
I0577,2.0
I1753,2.0
I1775,2.0
I1843,2.0
I1900,2.0
I1909,2.0
I2600,2.0
I2601,2.0
I2602,2.0
I2609,2.0
I2610,2.0
I2618,2.0
I2633,2.0
I2741,2.0
I2743,2.0
I2788,2.0
I2859,2.0
I2935,2.0
I3041,2.0
I3085,2.0
I3130,2.0
I1765_d,2.0
I3713_published,2.0
I3716_published,2.0
CP18,2.0
CP26,2.0
Latvia_HG3.SG,2.0
Latvia_LN1.SG,2.0
Latvia_HG1.SG,2.0
I1902,2.0
I4074,2.0
I4081,2.0
I4331,2.0
I4425,2.0
I4432,2.0
I4550,2.0
I4551,2.0
I4552,2.0
I4553,2.0
I4554,2.0
I4626,2.0
I4627,2.0
I4628,2.0
I4629,2.0
I4655_published,2.0
I4657_published,2.0
I4665_published,2.0
I4666_published,2.0
I5014,2.0
I0700,2.0
I0704_published,2.0
I0706,2.0
I1108,2.0
I1109,2.0
I1113,2.0
I1295,2.0
I1296_published,2.0
I1297,2.0
I1733,2.0
I1737_published,2.0
I2175,2.0
I2176_published,2.0
I2181_published,2.0
I2215_published,2.0
I2216_published,2.0
I2423,2.0
I2424,2.0
I2425,2.0
I2426_published,2.0
I2430,2.0
I2526,2.0
I5015,2.0
I5017,2.0
I5019,2.0
I5020,2.0
I5021,2.0
I5022,2.0
I5023,2.0
I5024,2.0
I5025,2.0
I5035,2.0
I5037,2.0
I5042,2.0
I5043,2.0
I5044,2.0
I5116,2.0
I5117,2.0
I5118,2.0
I5119,2.0
I0018,2.0
I9058,2.0
I0854,2.0
I1580,2.0
I1581,2.0
I1583,2.0
I1183_published_d,2.0
I9056_d,2.0
I9057_d,2.0
I9054_d,2.0
I9055_d,2.0
CP21,2.0
CP22_published,2.0
CP29,2.0
CP8,2.0
ILK001,2.0
ILK002,2.0
ILK003,2.0
I1875,2.0
I4304,2.0
I4305,2.0
I4308,2.0
I4595,2.0
I4596,2.0
I4630,2.0
I4632,2.0
I4871,2.0
I4872,2.0
I4873,2.0
I4874,2.0
I4875,2.0
I4876,2.0
I4877,2.0
I4878,2.0
I4880,2.0
I4881,2.0
I4882,2.0
I4914,2.0
I4915,2.0
I4916,2.0
I4917,2.0
I4918,2.0
I4945,2.0
I4946,2.0
