iid,coverage
DolmenAnsiao96B.SG,2.0
LugarCanto44.SG,2.0
Altai_snpAD.DG,2.0
Denisova_snpAD.DG,2.0
Loschbour_snpAD.DG,2.0
UstIshim_snpAD.DG,2.0
Vindija_snpAD.DG,2.0
Altai_published.DG,2.0
Denisova_published.DG,2.0
Loschbour_published.DG,2.0
Stuttgart_published.DG,2.0
Ust_Ishim_published.DG,2.0
Bar31.SG,2.0
Bar8.SG,2.0
Klei10.SG,2.0
C1.SG,2.0
S10.SG,2.0
S35.SG,2.0
S41.SG,2.0
F38.SG,2.0
WC1.SG,2.0
I0157.SG,2.0
I0159.SG,2.0
I0160.SG,2.0
I0774.SG,2.0
I0777.SG,2.0
I0232_published,2.0
I0562,2.0
I0061,2.0
I0745,2.0
I0746,2.0
I0707,2.0
Inuk.SG,2.0
Kostenki14.SG,2.0
BR2.SG,2.0
NE1.SG,2.0
Ajvide58.SG,2.0
Iceman.SG,2.0
LaBrana1_published.SG,2.0
Anzick.SG,2.0
I0061.SG,2.0
RISE98.SG,2.0
RISE493.SG,2.0
RISE495.SG,2.0
RISE496.SG,2.0
RISE497.SG,2.0
RISE505.SG,2.0
RISE511.SG,2.0
RISE523.SG,2.0
I0443,2.0
I0581,2.0
I0103,2.0
I0172,2.0
I0054,2.0
I0118,2.0
Kostenki14,2.0
mota.SG,2.0
I0100,2.0
Bichon.SG,2.0
KK1.SG,2.0
I9133.SG,2.0
rath1.SG,2.0
I0017.SG,2.0
Latvia_HG2.SG,2.0
I1169,2.0
I1907,2.0
I2366,2.0
I2790,2.0
I2793,2.0
I2794,2.0
I3921_all,2.0
I4105_all,2.0
I4106_all,2.0
Chan.SG,2.0
GB.SG,2.0
M96.SG,2.0
I4096_all,2.0
I2495,2.0
Sunghir2.SG,2.0
Sunghir3.SG,2.0
Sunghir4.SG,2.0
Sunghir6.SG,2.0
baa001.SG,2.0
ela001.SG,2.0
mfo001.SG,2.0
new001.SG,2.0
gun011.SG,2.0
Hum2.SG,2.0
SF12.SG,2.0
USR1.SG,2.0
Gyvakarai1_10bp,2.0
Kretuonas4,2.0
TAF011,2.0
PC537.SG,2.0
atp002.SG,2.0
atp016.SG,2.0
atp12-1420.SG,2.0
mur.SG,2.0
DA101.SG,2.0
DA177.SG,2.0
DA221.SG,2.0
DA222.SG,2.0
DA223.SG,2.0
DA228.SG,2.0
DA243.SG,2.0
DA28.SG,2.0
DA38.SG,2.0
DA45.SG,2.0
BOT14.SG,2.0
BOT15.SG,2.0
BOT2016.SG,2.0
DA246.SG,2.0
DA247.SG,2.0
DA249.SG,2.0
DA253.SG,2.0
EBA1.SG,2.0
EBA2.SG,2.0
RISE664.SG,2.0
RISE674.SG,2.0
Sidelkino.SG,2.0
Yamnaya.SG,2.0
Alh10.SG,2.0
Alh1.SG,2.0
FN2.SG,2.0
CR-01.SG,2.0
CT-01.SG,2.0
SC-05.SG,2.0
SN-44.SG,2.0
IPK12.SG,2.0
IPK13a.SG,2.0
IPY10.SG,2.0
vik_84001.SG,2.0
vik_grt035.SG,2.0
vik_grt036.SG,2.0
vik_stg021.SG,2.0
Denisova11.SG,2.0
Anzick_realigned.SG,2.0
CL36,2.0
CL38,2.0
CL47,2.0
CL57,2.0
CL63,2.0
CL83,2.0
CL84,2.0
CL87,2.0
CL92,2.0
CL93,2.0
CL94,2.0
SZ12,2.0
SZ13,2.0
SZ14,2.0
SZ16,2.0
SZ18,2.0
SZ19,2.0
SZ22,2.0
SZ23,2.0
SZ24,2.0
SZ27,2.0
SZ28,2.0
SZ30,2.0
SZ32,2.0
SZ37,2.0
SZ38,2.0
SZ40,2.0
SZ42,2.0
SZ7,2.0
SZ9,2.0
SZ11.SG,2.0
SZ15.SG,2.0
SZ1.SG,2.0
SZ2.SG,2.0
SZ36.SG,2.0
SZ3.SG,2.0
SZ43.SG,2.0
SZ45.SG,2.0
SZ4.SG,2.0
SZ5.SG,2.0
IK002.SG,2.0
La364.SG,2.0
La368.SG,2.0
La727.WGC,2.0
Ma555.SG,2.0
Ma912.SG,2.0
chy002.SG,2.0
cim359.SG,2.0
kzb002.SG,2.0
kzb005.SG,2.0
kzb006.SG,2.0
kzb007.SG,2.0
kzb008.SG,2.0
kzb009.SG,2.0
mur003.SG,2.0
mur004.SG,2.0
scy009.SG,2.0
scy192.SG,2.0
scy301.SG,2.0
scy303.SG,2.0
tem002.SG,2.0
tem003.SG,2.0
N17.SG,2.0
N18.SG,2.0
N19.SG,2.0
N20.SG,2.0
N22.SG,2.0
N25.SG,2.0
N26.SG,2.0
N27.SG,2.0
N28.SG,2.0
N31.SG,2.0
N36.SG,2.0
N38.SG,2.0
N42.SG,2.0
N44.SG,2.0
N45.SG,2.0
N47.SG,2.0
N49.SG,2.0
I1584,2.0
IL2.SG,2.0
IL3.SG,2.0
IL4.SG,2.0
IL5.SG,2.0
IL7.SG,2.0
19651.SG,2.0
SA5832.SG,2.0
A460.SG,2.0
Aconcagua.SG,2.0
AHUR_2064.SG,2.0
Andaman.SG,2.0
Lovelock1.SG,2.0
Lovelock2.SG,2.0
Lovelock3.SG,2.0
Lovelock4.SG,2.0
Sumidouro4.SG,2.0
Sumidouro5.SG,2.0
Sumidouro6.SG,2.0
