Start,End,StartM,EndM,length,lengthM,iid,ch,StartPosGRCh37,EndPosGRCh37
939,3857,0.103408,0.28611299,2918,0.18270499,I1178,1,4367323,13864528
39593,45713,1.98945606,2.27830505,6120,0.2888489900000002,I1178,1,183297554,211079618
38445,40912,1.76682794,1.90580904,2467,0.1389811,I1178,2,163623169,175599106
3216,9660,0.236136,0.555893,6444,0.3197569999999999,I1178,3,9248379,32219726
19509,40280,0.91742498,1.82864296,20771,0.91121798,I1178,3,68600488,174410136
41385,42691,1.90314698,1.99392295,1306,0.0907759699999999,I1178,3,180638648,186587417
1758,4365,0.12777901,0.29544199,2607,0.16766298,I1178,4,5995255,13723484
24314,26821,1.30610394,1.44481695,2507,0.13871301,I1178,4,122673274,139861418
0,3592,0.000381,0.217287,3592,0.216906,I1178,5,26366,9607318
0,7940,0.00353,0.44316801,7940,0.43963801,I1178,6,203909,23616661
32635,44713,1.29477596,1.92032301,12078,0.62554705,I1178,6,128207306,170906415
399,5239,0.035357,0.38450399,4840,0.34914699,I1178,7,2298227,21852852
10565,15042,0.61803597,0.79079098,4477,0.17275501,I1178,7,38536202,55161156
14654,21043,0.85626203,1.10405803,6389,0.247796,I1178,9,85960840,109244902
18956,21259,0.98710501,1.07594097,2303,0.08883596,I1178,10,74885920,82647730
9584,11247,0.567689,0.62551999,1663,0.05783099,I1178,12,41695580,48935999
9775,11267,0.58718902,0.66873997,1492,0.08155095,I1178,13,61328047,72428647
2863,4101,0.432307,0.52327198,1238,0.0909649799999999,I1178,15,33936879,39111829
4130,11683,0.52991098,0.83722597,7553,0.3073149899999999,I1178,15,39181802,68677349
1501,7649,0.1147,0.481877,6148,0.367177,I1178,16,5664127,24534255
20076,23380,1.11716998,1.34022999,3304,0.2230600100000002,I1178,16,83103233,90141477
825,4488,0.082527,0.33706701,3663,0.25454001,I1178,17,2906710,13152867
18316,20193,1.06199503,1.17703295,1877,0.11503792,I1178,18,73099261,78002055
0,315,3.8e-05,0.056503,315,0.0564649999999999,I1178,19,267614,1550650
341,3941,0.06301,0.397439,3600,0.334429,I1178,19,1735218,16172739
7886,11980,0.61568803,0.92006701,4094,0.3043789799999999,I1178,19,36123403,53809915
4270,10948,0.31609201,0.57708102,6678,0.2609890099999999,I1178,20,12276356,39406575
11,585,0.018961,0.072243,574,0.053282,I1178,21,15454659,17832871
592,958,0.085863,0.126019,366,0.040156,I1178,21,17885987,19557045
10411,11924,0.63402098,0.74047798,1513,0.106457,I1178,22,48008036,51165664
